Seção;Sub seção;Informação;Fonte Citada;Pagina;Só texto;Relatório;Observação;Link;Comentário relatório;Aberta;;;;;;;;;;;;;;;;;
COORDENAÇÃO DE EDUCAÇÃO EM SAÚDE;Programação Anual de Saúde (PAS) 2019;Diretriz 2. Implantar as redes de atenção prioritárias (Atenção Materno-Infantil, Saúde Mental, Saúde Bucal, Pessoa com Deficiência, Saúde do Idoso);Própria (prefeitura municial de Curitiba);69-75;S;19-2;;;;;;;;;;;;;;;;;;;;;
COORDENAÇÃO DE EDUCAÇÃO EM SAÚDE;Programação Anual de Saúde (PAS) 2019;Diretriz 3. Promoção a Saúde;Própria (prefeitura municial de Curitiba);75;S;19-2;;;;;;;;;;;;;;;;;;;;;
COORDENAÇÃO DE EDUCAÇÃO EM SAÚDE;Programação Anual de Saúde (PAS) 2019;Diretriz 4. Rede de Atenção à Urgência e Emergência;Própria (prefeitura municial de Curitiba);76-77;S;19-2;;;;;;;;;;;;;;;;;;;;;
COORDENAÇÃO DE EDUCAÇÃO EM SAÚDE;Programação Anual de Saúde (PAS) 2019;Diretriz 5. Organização da atenção ambulatorial e hospitalar especializada - Hospitais em Rede;Própria (prefeitura municial de Curitiba);77-78;S;19-2;;;;;;;;;;;;;;;;;;;;;
COORDENAÇÃO DE EDUCAÇÃO EM SAÚDE;Programação Anual de Saúde (PAS) 2019;Diretriz 6. Regulação do Sistema Municipal de Saúde;Própria (prefeitura municial de Curitiba);78-80;S;19-2;;;;;;;;;;;;;;;;;;;;;
COORDENAÇÃO DE EDUCAÇÃO EM SAÚDE;Programação Anual de Saúde (PAS) 2019;Diretriz 7. Vigilância em Saúde – vigilância epidemiológica, sanitária, ambiental (Curitiba sem Mosquito), zoonoses e saúde do trabalhador;Própria (prefeitura municial de Curitiba);80-89;S;19-2;;;;;;;;;;;;;;;;;;;;;
COORDENAÇÃO DE EDUCAÇÃO EM SAÚDE;Programação Anual de Saúde (PAS) 2019;Diretriz 8. Gestão de Pessoas e Educação Permanente em Saúde;Própria (prefeitura municial de Curitiba);89-91;S;19-2;;;;;;;;;;;;;;;;;;;;;
COORDENAÇÃO DE EDUCAÇÃO EM SAÚDE;Programação Anual de Saúde (PAS) 2019;Diretriz 9.Participação da Sociedade e Controle Social;Própria (prefeitura municial de Curitiba);91-94;S;19-2;;;;;;;;;;;;;;;;;;;;;
COORDENAÇÃO DE EDUCAÇÃO EM SAÚDE;Programação Anual de Saúde (PAS) 2019;Diretriz 10.Qualificação da Gestão e do Financiamento em Saúde;Própria (prefeitura municial de Curitiba);94-96;S;19-2;;;;;;;;;;;;;;;;;;;;;
DEMONSTRATIVO DO MONTANTE E FONTE DE RECURSOS APLICADOS NO PERÍODO;Receitas por Origem – Grupos;Receitas por Origem – Grupos;SGP;13;N;19-3;Comparativo;;;;;;;;;;;;;;;;;;;;
DEMONSTRATIVO DO MONTANTE E FONTE DE RECURSOS APLICADOS NO PERÍODO;Receitas por Origem – Grupos;Receitas por Origem;SGP;13;N;19-3;Grafico;;;;;;;;;;;;;;;;;;;;
DEMONSTRATIVO DO MONTANTE E FONTE DE RECURSOS APLICADOS NO PERÍODO;Despesas pagas por grupos de Recursos;Despesas pagas por grupos;SGP;14;N;19-3;Comparativo;;;;;;;;;;;;;;;;;;;;
DEMONSTRATIVO DO MONTANTE E FONTE DE RECURSOS APLICADOS NO PERÍODO;Despesas pagas por grupos de Recursos;Despesas pagas por grupos de Recursos;SGP;14;N;19-3;Grafico;;;;;;;;;;;;;;;;;;;;
DEMONSTRATIVO DO MONTANTE E FONTE DE RECURSOS APLICADOS NO PERÍODO;Despesas pagas por categoria econômica;Despesas pagas por categoria econômica;SGP;15;N;19-3;Comparativo;;;;;;;;;;;;;;;;;;;;
DEMONSTRATIVO DO MONTANTE E FONTE DE RECURSOS APLICADOS NO PERÍODO;Despesas pagas por categoria econômica;Despesas por categoria econômica;SGP;15;N;19-3;Grafico;;;;;;;;;;;;;;;;;;;;
DEMONSTRATIVO DO MONTANTE E FONTE DE RECURSOS APLICADOS NO PERÍODO;Receitas por Componentes;Receitas por Componentes;NAF;16;N;19-3;Prestação de contas - 1 quadrimestre 2020;;;;;;;;;;;;;;;;;;;;
DEMONSTRATIVO DO MONTANTE E FONTE DE RECURSOS APLICADOS NO PERÍODO;Desepesas pagas por detalhes;Desepesas pagas por detalhes;NAF;17;N;19-3;Prestação de contas - 1 quadrimestre 2020;;;;;;;;;;;;;;;;;;;;
DEMONSTRATIVO DO MONTANTE E FONTE DE RECURSOS APLICADOS NO PERÍODO;Fundo Municipal – Balancete Financeiro;Fundo Municipal – Balancete Financeiro;NAF;18;N;19-3;Comparativo;;;;;;;;;;;;;;;;;;;;
DEMONSTRATIVO DO MONTANTE E FONTE DE RECURSOS APLICADOS NO PERÍODO;Fundo Municipal – Balancete Financeiro;Fundo Municipal – Balancete Financeiro / Gráfico;NAF;18;N;19-3;Grafico;;;;;;;;;;;;;;;;;;;;
DEMONSTRATIVO DO MONTANTE E FONTE DE RECURSOS APLICADOS NO PERÍODO;Demonstrativo da Receita de impostos e das Despesas próprias com Saúde;Fundo municipal da saúde núcleo de assessorameto financeiro prestação de contas;Prévia do relatório resulmido da execução orçamentária - RREO;19;N;19-3;;;;;;;;;;;;;;;;;;;;;
DEMONSTRATIVO DO MONTANTE E FONTE DE RECURSOS APLICADOS NO PERÍODO;Emendas parlamentares;Emendas parlamentares equipamentos SMS;SMS2;19-20;N;19-3;;;;;;;;;;;;;;;;;;;;;
AUDITORIAS REALIZADAS;;Ações realizadas pelo Centro de Controle, Avaliação e Auditoria - CCAA;CCAA/SMS;21;S;19-3;;;;;;;;;;;;;;;;;;;;;
OFERTA DE SERVIÇOS PÚBLICOS DE SAÚDE NA REDE PRÓPRIA E CONTRATADA;Rede Física de Serviços de Saúde;Rede Física de Serviços no SUS Curitiba;CNES;22;N;19-3;Fonte não citada diretamente no relatório;;;;;;;;;;;;;;;;;;;;
OFERTA DE SERVIÇOS PÚBLICOS DE SAÚDE NA REDE PRÓPRIA E CONTRATADA;Total de Leitos SUS Curitiba cadastrados no CNES;Total de Leitos SUS Curitiba;CNES;23;N;19-3;Cadastrados no CNES;;;;;;;;;;;;;;;;;;;;
ATENÇÃO PRIMÁRIA À SAÚDE;Consultas médicas na atenção primária;Consultas médicas realizadas na Atenção Primária SUS-Curitiba;DATASUS/TABWIN;24;N;19-3;;;;;;;;;;;;;;;;;;;;;
ATENÇÃO PRIMÁRIA À SAÚDE;Consultas do enfermeiro na Atenção Primária;Consultas de enfermeiro realizadas na Atenção Primária SUS/Curitiba;DATASUS/TABWIN;25;N;19-3;;;;;;;;;;;;;;;;;;;;;
ATENÇÃO PRIMÁRIA À SAÚDE;Produção Odontológica na Atenção Primária;Produção Odontológica na Atenção Primária SUS/Curitiba;DATASUS/TABWIN;26;N;19-3;;;;;;;;;;;;;;;;;;;;;
ATENÇÃO PRIMÁRIA À SAÚDE;Procedimentos nível médio na Atenção Primária;Procedimentos nível médio realizados na Atenção Primária SUS/Curitiba;DATASUS/TABWIN;26-27;N;19-3;;;;;;;;;;;;;;;;;;;;;
ATENÇÃO PRIMÁRIA À SAÚDE;Atendimentos de Fisioterapia, Terapia Ocupacional e Fonoaudiologia;Atendimentos de Fisioterapia, Terapia Ocupacional e Fonoaudiologia SUS/Curitiba;DATASUS/TABWIN;27;N;19-3;;;;;;;;;;;;;;;;;;;;;
ATENÇÃO PRIMÁRIA À SAÚDE;Produção dos profissionais do NASF (exceto médicos);Produção dos profissionais do NASF (exceto médicos) * SMS/ Curitiba;DAPS;28;N;19-3;;;;;;;;;;;;;;;;;;;;;
ATENÇÃO PRIMÁRIA À SAÚDE;Consultório na Rua;Produtividade das equipes do Consultório na Rua, SMS/Curitiba;DAPS;28;N;19-3;;;;;;;;;;;;;;;;;;;;;
ATENÇÃO PRIMÁRIA À SAÚDE;Serviço de Atenção Domiciliar;Avaliação dos indicadores do Serviço de Atenção Domiciliar;FEAES;29;N;19-3;Dados repassados para contratos;;;;;;;;;;;;;;;;;;;;
ATENÇÃO ESPECIALIZADA;Consultas médicas realizadas na atenção especializada ambulatorial;Consultas médicas realizadas na atenção especializada ambulatorial na rede SUS-Curitiba;DATASUS/TABWIN;30;N;19-3;;;;;;;;;;;;;;;;;;;;;
ATENÇÃO ESPECIALIZADA;Número de ações especializadas de enfermagem;Número de ações especializadas de enfermagem na rede SUS-Curitiba;DATASUS/TABWIN;31;N;19-3;;;;;;;;;;;;;;;;;;;;;
ATENÇÃO ESPECIALIZADA;Número de ações especializadas em Odontologia;Número de ações especializadas em Odontologia na rede SUS-Curitiba;DATASUS/TABWIN;31-32;N;19-3;;;;;;;;;;;;;;;;;;;;;
ATENÇÃO ESPECIALIZADA;Produção de exames de Média Complexidade;Produção de exames de Média Complexidade na rede SUS Curitiba;DATASUS/TABWIN;32;N;19-3;;;;;;;;;;;;;;;;;;;;;
ATENÇÃO ESPECIALIZADA;Total de procedimentos de alta complexidade realizados;Total de procedimentos de alta complexidade realizados no SUS-Curitiba;DATASUS/TABWIN;33;N;19-3;;;;;;;;;;;;;;;;;;;;;
ATENÇÃO ESPECIALIZADA;Total de Órteses e Próteses;Total de Órteses e Próteses disponibilizadas SMS/ Curitiba;DATASUS/TABWIN;34;N;19-3;;;CCAA/DATASUS;;;;;;;;;;;;;;;;;;
ATENÇÃO ESPECIALIZADA;Número de Autorizações de Internamentos Hospitalares -AIHs geradas na rede SUS- Curitiba e valor por AIH;Número de AIHs por mês e valor médio pago - Curitiba;CCAA/DATASUS;35;N;19-3;;;;;;;;;;;;;;;;;;;;;
ATENÇÃO ESPECIALIZADA;Tipo e proporção de internações realizadas no SUS - Curitiba;Tipo e proporção de internações realizadas no SUS- Curitiba;CCAA/DATASUS;35-36;N;19-3;1 semestre;;;;;;;;;;;;;;;;;;;;
ATENÇÃO ESPECIALIZADA;Tipo e proporção de internações realizadas no SUS - Curitiba;Tipo e proporção de internações realizadas no SUS- Curitiba;CCAA/DATASUS;36;N;19-3;2 semestre;;;;;;;;;;;;;;;;;;;;
ATENÇÃO ESPECIALIZADA;Número e proporção das internações realizadas no SUS-Curitiba por local de residência dos usuários;Número e proporção das internações realizadas no SUS-Curitiba por local de residência dos usuários;CCAA/DATASUS;37;N;19-3;;;;;;;;;;;;;;;;;;;;;
ATENÇÃO ESPECIALIZADA;Número e proporção das internações realizadas no SUS-Curitiba por local de residência dos usuários;AIHs -2019 -Residentes da 2º RS Internados em Curitiba x Residentes de Curitiba Internados na 2ª RS;CCAA/DATASUS;38;N;19-3;Grafico;;;;;;;;;;;;;;;;;;;;
URGÊNCIA;Número de atendimentos realizados nas UPAs, segundo UPA;Número de atendimentos realizados nas Unidades Pronto Atendimento, 2º quadrimestre, segundo a UPA, Curitiba 2018 e 2019.;Painel de Monitoramento das UPAS, Sistema e- saude - BI epidemio;39;N;19-3;;;;;;;;;;;;;;;;;;;;;
URGÊNCIA;Classificação de Risco segundo Unidade de Pronto Atendimento;Classificação de Risco segundo Unidade de Pronto Atendimento. 2º quadrimestre 2019;Sistema e-saúde Relatório 81 e Monitoramento da Urgência e Emergência;39-40;N;19-3;;;;;;;;;;;;;;;;;;;;;
URGÊNCIA;Classificação de Risco segundo Unidade de Pronto Atendimento;Média de tempo de espera em minutos entre classificação de risco nas UPAs, segundo o risco;Sistema e-saúde Relatório 81 e Monitoramento da Urgência e Emergência;40;N;19-3;Gráfico;;;;;;;;;;;;;;;;;;;;
URGÊNCIA;Atendimentos realizadas pelo SAMU;Atendimentos realizadas pelo SAMU 192 2º Quadrimestre 2019;"Relatório Número Geral de Ocorrências atendidas no período, visão municípios.
Sistema de Regulação SESA CELEPAR";41;N;19-3;;;;;;;;;;;;;;;;;;;;;
LABORATÓRIO MUNICIPAL;;Produção do Laboratório Municipal de Curitiba;Laboratório Municipal;42;N;19-3;;;;;;;;;;;;;;;;;;;;;
ASSISTÊNCIA FARMACÊUTICA;;Medicamentos adquiridos e distribuídos em unidades. Curitiba;Coordenação de Recursos Materiais. Dados do Sistema SGP – Módulos Almoxarifado e Compras;43;N;19-3;;;;;;;;;;;;;;;;;;;;;
INDICADORES PRIORITÁRIOS;Taxa de Mortalidade Infantil;Taxa de Mortalidade Infantil por faixa etária;SMS / CE / Coordenação Eventos Vitais – SIM e SINASC;44;N;19-3;;;;;;;;;;;;;;;;;;;;;
INDICADORES PRIORITÁRIOS;Número de Nascidos Vivos e óbitos infantis por Distrito Sanitário;Número de nascidos vivos, óbitos infantis e Taxa de Mortalidade Infantil por Distrito Sanitário;SMS / CE / Coordenação Eventos Vitais – SIM e SINASC;45;N;19-3;;;;;;;;;;;;;;;;;;;;;
INDICADORES PRIORITÁRIOS;Proporção de consultas de pré-natal;Proporção de nascidos vivos de mães com 7 ou + consultas de pré-natal;SMS / CE / Coordenação Eventos Vitais – SINASC;46;N;19-3;;;;;;;;;;;;;;;;;;;;;
INDICADORES PRIORITÁRIOS;Agravos de notificação obrigatória, segundo Distrito de Residência;Casos Confirmados de Agravos de notificação, segundo Distrito de residência;SINAN;47;N;19-3;;;;;;;;;;;;;;;;;;;;;
INDICADORES PRIORITÁRIOS;Sífilis na Gestação;Gestantes com diagnóstico de sífilis segundo Distrito Sanitário de residência e taxa de detecção de sífilis em gestante (por 1000 nascidos vivos);CE/SINAN/ SINASC;48;N;19-3;;;;;;;;;;;;;;;;;;;;;
INDICADORES PRIORITÁRIOS;Doenças de agravos não transmissíveis – DANT;Número de internamentos totais e por condições sensíveis à atenção básica, por quadrimestre em residentes de Curitiba;Sistema de Internação Hospitalar/SIH-SUS/CE;49;N;19-3;;;;;;;;;;;;;;;;;;;;;
INDICADORES PRIORITÁRIOS;Doenças de agravos não transmissíveis – DANT;Proporção de internamentos por condições sensíveis em relação ao total de internamentos, segundo a faixa etária;Sistema de Internação Hospitalar/SIH-SUS/CE;50;N;19-3;;;;;;;;;;;;;;;;;;;;;
INDICADORES PRIORITÁRIOS;Doenças de agravos não transmissíveis – DANT;Número de internamentos por IAM, AVC e DM, em residentes;Sistema de Informações Hospitalares/SIH- SUS/CE/SMS;51;N;19-3;;;;;;;;;;;;;;;;;;;;;
INDICADORES PRIORITÁRIOS;Mortalidade Prematura por Doenças Crônicas por Não transmissíveis - (DCNT);Percentual de mortes prematuras (30 a 69 anos) de residentes, pelos quatro grupos de Doenças Crônicas Não Transmissíveis;SIM/CE/SMS;52;N;19-3;Gráfico;;;;;;;;;;;;;;;;;;;;
INDICADORES PRIORITÁRIOS;Mortalidade Prematura por Doenças Crônicas por Não transmissíveis - (DCNT);Percentual de mortes prematuras (30 a 69 anos) pelos quatro principais grupos DCNT;SIM/CE/SMS;53;N;19-3;Gráfico;;;;;;;;;;;;;;;;;;;;
INDICADORES PRIORITÁRIOS;Cobertura vacinal;Cobertura vacinal, na rede pública;SMS/ Núcleo M&A/ e-saúde;54;N;19-3;;;;;;;;;;;;;;;;;;;;;
INDICADORES PRIORITÁRIOS;Cobertura vacinal;Cobertura vacinal, incluindo outros serviços;SMS/ Núcleo M&A/ e-saúde e SI-PNI;54;N;19-3;;;;;;;;;;;;;;;;;;;;;
INDICADORES PRIORITÁRIOS;Doenças respiratórias;Número de atendimentos por doença respiratória nas Unidades de Saúde (US) e Unidades de Pronto Atendimento (UPA) SMS/Curitiba;CE/BI;56;N;19-3;;;;;;;;;;;;;;;;;;;;;
INDICADORES PRIORITÁRIOS;Doenças respiratórias;Número de casos e letalidade de Síndrome Respiratória Aguda Grave (SRAG) e Influenza SMS/Curitiba;CE/SINAN/SIVEP;56;N;19-3;;;;;;;;;;;;;;;;;;;;;
RECURSOS HUMANOS;;Profissionais que atuam na Secretaria Municipal de Saúde;Núcleo Setorial de Gestão de Pessoal – Saúde/NGP-S;57;N;19-3;;;;;;;;;;;;;;;;;;;;;
RECURSOS HUMANOS;;Número e Cargos dos Profissionais que atuam na SMS com vínculo empregatício com a Prefeitura Municipal de Curitiba;Núcleo Setorial de Gestão de Pessoal – Saúde/NGP-S;57-58;N;19-3;;;;;;;;;;;;;;;;;;;;;
RECURSOS HUMANOS;;Alterações no quadro próprio de profissionais, segundo motivo de desligamento (Estatutário e CLT) SMS – Curitiba;Núcleo Setorial de Gestão de Pessoal – Saúde/NGP-S;59;N;19-3;;;;;;;;;;;;;;;;;;;;;
COORDENAÇÃO DE EDUCAÇÃO EM SAÚDE;;Atividades realizadas para profissionais da SMS;Coordenação de Educação em Saúde;60;N;19-3;;;;;;;;;;;;;;;;;;;;;
COORDENAÇÃO DE EDUCAÇÃO EM SAÚDE;;Residência Multiprofissional em Saúde;SMS/CES;60-61;N;19-3;;;;;;;;;;;;;;;;;;;;;
COORDENAÇÃO DE EDUCAÇÃO EM SAÚDE;;Residência Médica;SMS/CES;61;N;19-3;;;;;;;;;;;;;;;;;;;;;
INDICADORES DE GESTÃO;SISPACTO 2019;Indicadores;Própria (prefeitura municial de Curitiba);61-67;S;19-3;;;;;;;;;;;;;;;;;;;;;
COORDENAÇÃO DE EDUCAÇÃO EM SAÚDE;Programação Anual de Saúde (PAS) 2019;Diretriz 1. Posto de Saúde em acolhida;Própria (prefeitura municial de Curitiba);67-70;N;19-3;;;;;;;;;;;;;;;;;;;;;
COORDENAÇÃO DE EDUCAÇÃO EM SAÚDE;Programação Anual de Saúde (PAS) 2019;Diretriz 2. Implantar as redes de atenção prioritárias (Atenção Materno-Infantil, Saúde Mental, Saúde Bucal, Pessoa com Deficiência, Saúde do Idoso);Própria (prefeitura municial de Curitiba);70-76;N;19-3;;;;;;;;;;;;;;;;;;;;;
COORDENAÇÃO DE EDUCAÇÃO EM SAÚDE;Programação Anual de Saúde (PAS) 2019;Diretriz 3. Promoção a Saúde;Própria (prefeitura municial de Curitiba);76;N;19-3;;;;;;;;;;;;;;;;;;;;;
COORDENAÇÃO DE EDUCAÇÃO EM SAÚDE;Programação Anual de Saúde (PAS) 2019;Diretriz 4. Rede de Atenção à Urgência e Emergência;Própria (prefeitura municial de Curitiba);76-77;N;19-3;;;;;;;;;;;;;;;;;;;;;
COORDENAÇÃO DE EDUCAÇÃO EM SAÚDE;Programação Anual de Saúde (PAS) 2019;Diretriz 5. Organização da atenção ambulatorial e hospitalar especializada - Hospitais em Rede;Própria (prefeitura municial de Curitiba);78-79;N;19-3;;;;;;;;;;;;;;;;;;;;;
COORDENAÇÃO DE EDUCAÇÃO EM SAÚDE;Programação Anual de Saúde (PAS) 2019;Diretriz 6. Regulação do Sistema Municipal de Saúde;Própria (prefeitura municial de Curitiba);79-81;N;19-3;;;;;;;;;;;;;;;;;;;;;
COORDENAÇÃO DE EDUCAÇÃO EM SAÚDE;Programação Anual de Saúde (PAS) 2019;Diretriz 7. Vigilância em Saúde – vigilância epidemiológica, sanitária, ambiental (Curitiba sem Mosquito), zoonoses e saúde do trabalhador;Própria (prefeitura municial de Curitiba);81-90;N;19-3;;;;;;;;;;;;;;;;;;;;;
COORDENAÇÃO DE EDUCAÇÃO EM SAÚDE;Programação Anual de Saúde (PAS) 2019;Diretriz 8. Gestão de Pessoas e Educação Permanente em Saúde;Própria (prefeitura municial de Curitiba);90-92;N;19-3;;;;;;;;;;;;;;;;;;;;;
COORDENAÇÃO DE EDUCAÇÃO EM SAÚDE;Programação Anual de Saúde (PAS) 2019;Diretriz 9.Participação da Sociedade e Controle Social;Própria (prefeitura municial de Curitiba);92-96;N;19-3;;;;;;;;;;;;;;;;;;;;;
COORDENAÇÃO DE EDUCAÇÃO EM SAÚDE;Programação Anual de Saúde (PAS) 2019;Diretriz 10.Qualificação da Gestão e do Financiamento em Saúde;Própria (prefeitura municial de Curitiba);96-98;N;19-3;;;;;;;;;;;;;;;;;;;;;
Resolução;;Aprovação do relatório anterior;Própria (prefeitura municial de Curitiba);99-100;S;19-3;;;;;;;;;;;;;;;;;;;;;
Dados Demográficos e de Morbimortalidade;População estimada por sexo e faixa etária;População estimada por sexo e faixa etária;Elaborada pelo Ministério da Saúde/SVS/CGIAE – TABNET;9;N;20-1;;;;;;;;;;;;;;;;;;;;;
Dados Demográficos e de Morbimortalidade;Nascidos Vivos;Série histórica de Nascidos Vivos;Elaborada pelo Ministério da Saúde/SVS/CGIAE – TABNET;10;N;20-1;;;;;;;;;;;;;;;;;;;;;
Dados Demográficos e de Morbimortalidade;Principais causas de internações;Principais causas de internações;Sistema de informações hospitares SUS (SIH/SUS);11;N;20-1;A atualização dos valores relativos ao último periodo ocorrem simultaneamente ao carregamento dos dados no Tabnet/DATASUS;;;;;;;;;;;;;;;;;;;;
Dados Demográficos e de Morbimortalidade;Mortalidade por grupos de causas;Mortalidade de residente, segundo capítulo CID-10;Sistema de Informação sobre Mortalidade (MS/SVS/CGIAE/SIM – Tabnet);13;N;20-1;;;;;;;;;;;;;;;;;;;;;
Dados de produção de Serviços no SUS;Produção de Atenção Básica;Produção da Atenção Básica, conforme grupo de procedimento;Sistema de Informações Ambulatoriais de SUS(SIA/SUS);14;N;20-1;;;;;;;;;;;;;;;;;;;;;
Dados de produção de Serviços no SUS;Produção de Urgência e Emergência por grupo de procedimento;Produção de Urgência e Emergência, conforme grupo de procedimento;"Sistema de Informações Ambulatoriais de SUS(SIA/SUS) e
Sistema de Informação Hospitalar (SIH/SUS)";15;N;20-1;;;;;;;;;;;;;;;;;;;;;
Dados de produção de Serviços no SUS;Produção da Atenção Psicossocial por forma de organização;Produção da Atenção Psicossocial por forma de organização;Sistema de Informações Ambulatoriais de SUS(SIA/SUS) e Sistema de Informação Hospitalar (SIH/SUS);16;N;20-1;;;;;;;;;;;;;;;;;;;;;
Dados de produção de Serviços no SUS;Produção de atenção ambulatorial especializada e hospitalar por grupo de procedimentos;Produção da Atenção Ambulatorial especializada, conforme grupo de procedimento;Sistema de Informações Ambulatoriais de SUS(SIA/SUS) e Sistema de Informação Hospitalar (SIH/SUS);16;N;20-1;;;;;;;;;;;;;;;;;;;;;
Dados de produção de Serviços no SUS;Produção de Assistência Farmacêutica;Produção de Assistência Farmacêutica;Própria (prefeitura municial de Curitiba);17;N;20-1;Não há dados;;;;;;;;;;;;;;;;;;;;
Dados de produção de Serviços no SUS;Produção de Vigilância em saúde por grupo de procedimentos;Produção da Vigilância em Saúde, conforme grupo de procedimento;Sistema de Informações Ambulatoriais de SUS(SIA/SUS);17;N;20-1;;;;;;;;;;;;;;;;;;;;;
Rede Física Prestadora de Serviços ao SUS;Por tipo de Estabelecimento e Gestão;Rede Física de Serviços no SUS Curitiba;CNES;18;N;20-1;Dados atualizados em 06/05/2020. OBS: Linhas acima incluídas, pois são apresentadas no relatório de ATENDIMENTO PRESTADO do DATASUS.;;;;;;;;;;;;;;;;;;;;
Rede Física Prestadora de Serviços ao SUS;Por natureza jurídica;Rede física de estabelecimentos de saúde por natureza jurídica;CNES;19;N;20-1;Dados atualizados em 06/05/2020.;;;;;;;;;;;;;;;;;;;;
Profissionais de Saúde Trabalhando no SUS;;Profissionais que atuam na Secretaria Municipal de Saúde;Núcleo Setorial de Gestão de Pessoal – Saúde/NGP-S;20;N;20-1;;;;;;;;;;;;;;;;;;;;;
Profissionais de Saúde Trabalhando no SUS;;Número e Cargos dos Profissionais que atuam na SMS com vínculo empregatício com a Prefeitura Municipal de Curitiba;Núcleo Setorial de Gestão de Pessoal – Saúde/NGP-S;21;N;20-1;;;;;;;;;;;;;;;;;;;;;
Profissionais de Saúde Trabalhando no SUS;;Alterações no quadro próprio de profissionais, segundo motivo de desligamento (Estatutário e CLT) SMS – Curitiba/ABRIL 2020;Núcleo Setorial de Gestão de Pessoal – Saúde/NGP-S;23;N;20-1;;;;;;;;;;;;;;;;;;;;;
Programação Anual de Saúde (PAS);;Diretriz 1. Posto de Saúde em acolhida;Própria (prefeitura municial de Curitiba);23-26;S;20-1;;;;;;;;;;;;;;;;;;;;;
Programação Anual de Saúde (PAS);;Diretriz 2. Implantar as redes de atenção prioritárias (Atenção Materno-Infantil, Saúde Mental, Saúde Bucal, Pessoa com Deficiência, Saúde do Idoso);Própria (prefeitura municial de Curitiba);26-31;S;20-1;;;;;;;;;;;;;;;;;;;;;
Programação Anual de Saúde (PAS);;Diretriz 3. Promoção a Saúde;Própria (prefeitura municial de Curitiba);32;S;20-1;;;;;;;;;;;;;;;;;;;;;
Programação Anual de Saúde (PAS);;Diretriz 4. Rede de Atenção à Urgência e Emergência;Própria (prefeitura municial de Curitiba);32-34;S;20-1;;;;;;;;;;;;;;;;;;;;;
Programação Anual de Saúde (PAS);;Diretriz 5. Organização da atenção ambulatorial e hospitalar especializada - Hospitais em Rede;Própria (prefeitura municial de Curitiba);34-35;S;20-1;;;;;;;;;;;;;;;;;;;;;
Programação Anual de Saúde (PAS);;Diretriz 6. Regulação do Sistema Municipal de Saúde;Própria (prefeitura municial de Curitiba);35-38;S;20-1;;;;;;;;;;;;;;;;;;;;;
Programação Anual de Saúde (PAS);;Diretriz 7. Vigilância em Saúde – vigilância epidemiológica, sanitária, ambiental (Curitiba sem Mosquito), zoonoses e saúde do trabalhador.;Própria (prefeitura municial de Curitiba);38-45;S;20-1;;;;;;;;;;;;;;;;;;;;;
Programação Anual de Saúde (PAS);;Diretriz 8. Gestão de Pessoas e Educação Permanente em Saúde;Própria (prefeitura municial de Curitiba);45-47;S;20-1;;;;;;;;;;;;;;;;;;;;;
Programação Anual de Saúde (PAS);;Diretriz 9. Participação da Sociedade e Controle Social;Própria (prefeitura municial de Curitiba);48-51;S;20-1;;;;;;;;;;;;;;;;;;;;;
Programação Anual de Saúde (PAS);;Diretriz 10.Qualificação da Gestão e do Financiamento em Saúde;Própria (prefeitura municial de Curitiba);51-52;S;20-1;;;;;;;;;;;;;;;;;;;;;
Indicadores de Pactuação Interfederativa;;Indicadores;Própria (prefeitura municial de Curitiba);53-58;S;20-1;;;;;;;;;;;;;;;;;;;;;
Execução Orçamentária e Financeira;Receitas por Origem – Grupos;Receitas por Origem – Grupos de Recursos;SGP;59;N;20-1;Comparativo;;;;;;;;;;;;;;;;;;;;
Execução Orçamentária e Financeira;Receitas por Origem – Grupos;Receitas por Origem;SGP;59;N;20-1;Grafico;;;;;;;;;;;;;;;;;;;;
Execução Orçamentária e Financeira;Despesas pagas por grupos de Recursos;Despesas pagas por grupos;SGP;60;N;20-1;Comparativo;;;;;;;;;;;;;;;;;;;;
Execução Orçamentária e Financeira;Despesas pagas por grupos de Recursos;Despesas pagas por grupos de Recursos;SGP;60;N;20-1;Grafico;;;;;;;;;;;;;;;;;;;;
Execução Orçamentária e Financeira;Despesas pagas por categoria econômica;Despesas pagas por categoria econômica;SGP;61;N;20-1;Comparativo;;;;;;;;;;;;;;;;;;;;
Execução Orçamentária e Financeira;Despesas pagas por categoria econômica;Despesas por categoria econômica;SGP;61;N;20-1;Grafico;;;;;;;;;;;;;;;;;;;;
Execução Orçamentária e Financeira;Receitas por Componentes;Receitas por Componentes;Núcleo de asseramento financeiro;62;N;20-1;Prestação de contas - 1 quadrimestre 2020;;;;;;;;;;;;;;;;;;;;
Execução Orçamentária e Financeira;Desepesas pagas por detalhes;Desepesas pagas por detalhes;Núcleo de asseramento financeiro;63;N;20-1;Prestação de contas - 1 quadrimestre 2020;;;;;;;;;;;;;;;;;;;;
Execução Orçamentária e Financeira;Fundo Municipal – Balancete Financeiro;Fundo Municipal da saúde - Balancete financeiro do periodo;Núcleo de asseramento financeiro;64;N;20-1;Comparativo;;;;;;;;;;;;;;;;;;;;
Execução Orçamentária e Financeira;Fundo Municipal – Balancete Financeiro;Fundo Municipal da saúde - Balancete financeiro do periodo;Núcleo de asseramento financeiro;64;N;20-1;Grafico;;;;;;;;;;;;;;;;;;;;
